carat,cut,color,clarity,depth,table,price
0.53,3,7,2,63.4,54.0,7.057
0.41,4,2,2,63.0,56.0,6.824
0.32,4,6,5,61.6,56.0,6.107
0.31,4,5,3,61.2,56.0,6.39
1.35,5,4,5,60.5,56.0,8.741
0.9,4,1,2,61.8,57.0,8.281
1.01,3,1,2,60.8,59.0,8.491
1.31,5,6,4,59.1,59.0,8.656
1.02,3,2,2,63.3,58.0,8.63
0.81,3,3,2,61.9,60.0,8.201
1.01,2,1,5,63.6,59.0,8.716000000000001
0.7,1,5,2,64.7,58.0,7.626
0.7,3,6,4,63.2,60.0,7.422000000000001
0.79,5,5,5,62.6,61.0,7.9110000000000005
0.58,3,7,3,62.0,57.0,7.638999999999999
2.08,4,6,4,62.3,56.0,9.625
0.36,3,2,7,59.0,59.0,7.02
0.71,4,3,1,61.4,57.0,8.142000000000001
0.41,3,4,1,63.2,59.0,6.681
1.5,3,6,5,63.3,55.0,9.163
0.79,4,1,2,62.0,55.0,8.033
0.29,4,1,4,60.6,59.0,6.207000000000001
0.31,3,7,7,62.6,61.0,6.704
0.5,4,4,5,62.0,56.0,7.061
0.9,5,7,8,62.3,53.0,7.57
1.2,2,3,5,63.7,57.0,8.685
0.71,3,3,2,58.7,61.0,7.82
0.3,4,7,1,62.2,55.0,6.405
1.03,5,2,4,61.3,61.0,8.469
0.31,4,7,6,61.6,56.0,6.732
0.4,4,4,5,62.9,57.0,6.64
0.33,3,7,5,61.5,59.4,6.435
1.02,3,1,4,60.3,59.0,8.353
0.41,4,5,7,62.7,54.0,7.017
1.53,4,6,4,62.4,58.0,8.946
0.7,2,1,7,63.3,56.0,8.105
0.34,4,3,2,61.2,57.0,6.457000000000001
0.58,3,7,4,63.3,58.0,7.018
1.23,4,7,5,61.5,54.0,9.004
0.9,5,1,4,61.4,58.0,8.193999999999999
0.5,5,7,3,62.1,61.0,7.499
2.01,4,1,4,62.3,58.0,9.677999999999999
0.4,5,2,3,60.4,59.0,7.141
1.52,4,1,5,62.8,55.0,9.55
0.54,4,3,5,61.9,57.0,7.47
0.41,2,2,2,56.5,63.0,6.631
0.72,4,3,3,62.0,54.9,8.317
0.41,4,1,7,62.1,57.0,7.212000000000001
1.38,4,1,5,61.9,55.0,9.324
0.9,2,5,2,59.0,62.0,8.182
0.7,3,3,7,63.2,57.0,8.443
0.9,4,6,4,61.9,57.0,7.976
1.57,3,5,2,62.0,60.0,9.23
1.0,3,2,3,61.3,58.0,9.158
0.3,3,7,7,63.1,56.0,6.921
0.3,5,6,1,61.9,59.0,6.267
0.5,4,1,3,61.6,56.0,7.678
0.81,4,7,2,62.2,57.0,8.068
0.3,2,6,2,63.4,57.0,5.976
1.01,5,7,5,59.0,61.0,8.69
1.67,4,6,1,61.2,57.0,9.287
0.31,5,5,5,62.5,60.0,6.443
0.9,1,7,2,65.6,56.0,8.054
1.4,5,3,4,62.4,57.0,8.724
1.2,5,6,1,59.9,59.0,8.74
0.54,4,3,4,60.7,56.0,7.2
0.9,2,1,4,65.9,60.0,8.15
0.82,4,2,5,61.9,56.0,8.44
0.24,3,2,3,58.8,58.0,6.256
1.01,4,5,2,62.2,57.0,8.484
0.38,4,1,7,61.1,57.0,7.056
0.36,4,2,2,62.7,57.0,6.746
0.3,3,3,7,62.6,56.0,6.7589999999999995
0.36,4,2,1,61.8,55.0,6.91
0.35,4,6,5,61.7,57.0,6.446000000000001
0.4,4,2,7,61.5,55.0,7.211
0.9,2,1,2,62.7,58.0,8.237
0.58,4,2,7,60.6,57.0,8.073
1.0,5,1,5,62.6,60.0,8.757
0.32,3,7,2,61.0,61.0,6.167999999999999
0.42,4,2,2,63.0,55.0,6.877000000000001
0.32,5,5,1,60.6,60.0,6.33
0.3,3,3,5,62.6,58.0,6.489
0.4,3,5,5,59.1,61.0,6.603
1.59,5,3,4,60.5,59.0,9.113999999999999
1.1,5,5,4,59.5,57.0,8.295
0.96,5,4,2,60.3,59.0,8.092
0.41,5,3,2,60.2,60.0,6.627000000000001
0.71,3,1,4,59.5,58.0,7.662999999999999
0.4,2,3,4,61.2,61.0,6.377000000000001
0.46,4,7,7,61.6,55.0,7.496
0.3,3,3,2,60.6,56.0,6.265
0.39,2,3,5,63.1,56.0,6.721
1.07,4,2,6,60.9,54.0,9.743
0.23,4,5,5,62.3,53.0,6.2379999999999995
0.23,3,3,3,61.2,58.0,6.273
1.57,4,6,4,62.6,58.0,9.015
0.33,4,1,7,61.9,55.0,6.928999999999999
1.55,3,5,5,63.3,56.0,9.264
0.51,4,2,5,61.5,57.0,7.4879999999999995
0.57,4,1,3,61.5,57.0,7.766
0.3,2,7,7,64.0,57.0,6.778
0.8,4,7,4,62.5,55.0,7.97
1.5,3,5,2,62.6,57.0,9.122
0.38,4,2,1,61.9,53.5,6.891
0.33,5,2,7,61.8,58.0,7.096
1.12,4,7,3,62.0,55.0,9.079
0.42,4,2,2,61.9,56.0,6.947
1.23,5,6,4,62.5,60.0,8.57
0.32,4,3,3,62.4,56.0,6.7620000000000005
0.71,4,2,4,62.5,56.0,7.819
0.42,5,1,3,61.7,59.0,7.041
1.28,4,3,1,61.7,57.0,9.343
0.3,1,1,5,64.5,55.0,6.495
0.33,5,6,2,62.8,58.0,6.349
2.03,4,7,4,62.5,56.0,9.711
0.9,2,7,8,63.6,61.0,7.707999999999999
0.5,5,6,4,59.8,56.0,6.8020000000000005
1.02,4,5,5,61.2,56.0,8.578
1.34,3,2,4,62.3,59.0,8.886000000000001
0.88,4,1,4,62.2,56.0,8.193999999999999
0.31,4,2,2,62.5,53.0,6.279
0.44,4,3,1,61.5,56.0,7.0520000000000005
0.73,5,6,1,60.3,58.0,7.771
0.28,3,2,7,60.6,58.0,6.465
1.54,4,7,1,62.3,57.0,9.536
0.91,3,5,4,63.4,57.0,8.126
0.7,5,2,4,60.8,61.0,7.593999999999999
0.31,5,6,2,61.4,61.0,6.26
0.9,2,7,2,65.2,58.0,8.208
0.55,4,1,3,62.3,54.0,7.856
0.3,4,4,1,62.0,57.0,6.019
0.9,5,1,4,58.9,59.0,8.244
1.5,4,5,2,61.3,57.0,9.28
1.52,5,5,3,63.0,60.0,9.394
0.7,1,3,5,65.7,55.0,7.7989999999999995
0.4,1,3,3,57.3,60.0,6.974
0.39,4,2,1,61.9,57.0,7.065
0.28,3,7,3,61.1,56.0,6.257999999999999
0.73,4,3,4,60.4,56.0,7.797000000000001
1.28,2,5,4,63.8,55.0,8.415
1.01,4,7,5,61.0,56.0,8.815
0.52,3,7,1,62.3,58.0,7.396
2.0,4,6,2,62.8,56.0,9.633
0.71,5,2,2,59.7,59.0,7.96
2.23,5,4,4,61.3,60.0,9.542
0.71,3,6,2,60.4,63.0,7.563
0.31,4,6,7,62.0,54.0,6.3229999999999995
0.65,5,6,4,60.7,58.0,7.106
0.71,4,2,1,60.9,57.0,8.166
0.41,5,3,1,60.7,58.0,7.05
